19:31:41 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 60936 
19:31:42 info -  [SocketServerLauncher] Starting GLSP server connection 
19:31:42 info -  [DefaultGLSPServer] Initializing server with: applicationId: 08b7bfc3-2d3e-4cd3-a3cd-2b4aab636759, protocolVersion: 1.0.0 
19:31:44 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
19:31:44 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
19:31:44 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
19:31:44 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
19:31:44 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
19:31:46 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_1', diagramType: 'tasklist-diagram' 
19:31:46 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_1] 
19:31:46 error -  [DefaultGLSPServer] Could not process action: 'requestModel 
19:31:46 error -  [DefaultGLSPServer] Error: Could not load model from file: file:///c:/Users/roby0/Desktop/URJC/TFG/tfg-glsp/workspace/specializations/weak-entity-father.tasklist 
19:31:46 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_1] 
19:31:46 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_1] 
19:31:48 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_2', diagramType: 'tasklist-diagram' 
19:31:48 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_2] 
19:31:48 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_2] 
19:31:48 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_2] 
19:31:48 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_2] 
19:32:03 info -  [DefaultGLSPServer] process [action=requestMarkers, clientId=tasklist-diagram_2] 
19:32:04 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_2] 
20:17:45 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_3', diagramType: 'tasklist-diagram' 
20:17:45 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_3] 
20:17:45 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_3] 
20:17:45 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_3] 
20:17:45 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_3] 
20:17:52 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_3] 
20:21:16 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_4', diagramType: 'tasklist-diagram' 
20:21:16 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_4] 
20:21:16 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_4] 
20:21:16 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_4] 
20:21:16 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_4] 
20:21:18 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_4] 
20:22:30 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_5', diagramType: 'tasklist-diagram' 
20:22:30 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_5] 
20:22:30 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_5] 
20:22:30 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_5] 
20:22:30 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_5] 
20:22:31 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_5] 
20:22:59 info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_6', diagramType: 'tasklist-diagram' 
20:22:59 info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_6] 
20:22:59 info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_6] 
20:23:00 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_6] 
20:23:00 info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_6] 
20:23:01 info -  [DefaultGLSPServer] process [action=generateSql, clientId=tasklist-diagram_6] 
