18:26:42 info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 61771 
18:26:42 info -  [SocketServerLauncher] Starting GLSP server connection 
18:26:42 info -  [DefaultGLSPServer] Initializing server with: applicationId: c2520d81-c197-4adc-9dbd-fd9230b1213c, protocolVersion: 1.0.0 
18:28:03 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:28:06 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:28:06 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_1] 
18:28:06 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:28:06 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:28:10 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:28:12 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:28:12 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:28:13 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:28:13 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_1] 
18:28:13 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:28:14 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:28:17 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:28:17 info -  [DefaultGLSPServer] process [action=requestEditValidation, clientId=tasklist-diagram_1] 
18:28:17 info -  [DefaultGLSPServer] process [action=applyLabelEdit, clientId=tasklist-diagram_1] 
18:28:17 info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_1] 
18:28:42 info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_1] 
